AD;Andorra;Andorra la Vella;Андорра;Андорра-ла-Велья
AD;Andorra;Canillo;Андорра;Канильо
AD;Andorra;La Massana;Андорра;Ла Массана
AD;Andorra;Ordino;Андорра;Ордино
AD;Andorra;Sant Julià de Lòria;Андорра;Сан-Хулия-де-Лория
AD;Andorra;Encamp;Андорра;Энкамп
AD;Andorra;Escaldes-Engordany;Андорра;Эскальдес-Энгордань
AE;United Arab Emirates;Ajmān;Объединенные Арабские Эмираты;Аджман
AE;United Arab Emirates;Abu Dhabi;Объединенные Арабские Эмираты;Абу Даби
AE;United Arab Emirates;Al ‘Ayn;Объединенные Арабские Эмираты;Аль Айн
AE;United Arab Emirates;Al Fujayrah;Объединенные Арабские Эмираты;Аль Фуджейра
AE;United Arab Emirates;Dubai;Объединенные Арабские Эмираты;Дубай
AE;United Arab Emirates;Madīnat Zāyid;Объединенные Арабские Эмираты;Мадинат Заид
AE;United Arab Emirates;Ra’s al Khaymah;Объединенные Арабские Эмираты;Рас-аль-Хайма
AE;United Arab Emirates;Umm al Qaywayn;Объединенные Арабские Эмираты;Умм аль-Кайвайн
AE;United Arab Emirates;Sharjah;Объединенные Арабские Эмираты;Шарджа
AF;Afghanistan;Aībak;Афганистан;Айбак
AF;Afghanistan;Andkhōy;Афганистан;Андхой
AF;Afghanistan;Asadābād;Афганистан;Асадабад
AF;Afghanistan;Baghlān;Афганистан;Баглан
AF;Afghanistan;Bāzārak;Афганистан;Базарак
AF;Afghanistan;Balkh;Афганистан;Балх
AF;Afghanistan;Bāmyān;Афганистан;Бамиан
AF;Afghanistan;Barakī Barak;Афганистан;Бараки Барак
AF;Afghanistan;Buynī Qarah;Афганистан;Буйни Кара
AF;Afghanistan;Ghaznī;Афганистан;Газни
AF;Afghanistan;Gardēz;Афганистан;Гардез
AF;Afghanistan;Herāt;Афганистан;Герат
AF;Afghanistan;Jalālābād;Афганистан;Джелалабад
AF;Afghanistan;Zaranj;Афганистан;Зарандж
AF;Afghanistan;Zarghūn Shahr;Афганистан;Заргун Шахр
AF;Afghanistan;Kabul;Афганистан;Кабул
AF;Afghanistan;Qal‘ah-ye Zāl;Афганистан;Кала-йе Зал
AF;Afghanistan;Qal‘ah-ye Now;Афганистан;Кала-йе сейчас
AF;Afghanistan;Qalāt;Афганистан;Калат
AF;Afghanistan;Kandahār;Афганистан;Кандагар
AF;Afghanistan;Karukh;Афганистан;Карух
AF;Afghanistan;Kōṯah-ye ‘As̲h̲rō;Афганистан;Коах-йе Асоро
AF;Afghanistan;Kunduz;Афганистан;Кундуз
AF;Afghanistan;Lashkar Gāh;Афганистан;Лашкар Гах
AF;Afghanistan;Mazār-e Sharīf;Афганистан;Мазари-Шариф
AF;Afghanistan;Maīdān Shahr;Афганистан;Майдан Шахр
AF;Afghanistan;Maīmanah;Афганистан;Майманах
AF;Afghanistan;Maḩmūd-e Rāqī;Афганистан;Махмуд-э Раки
AF;Afghanistan;Mehtar Lām;Афганистан;Мехтар Лам
AF;Afghanistan;Nīlī;Афганистан;Нили
AF;Afghanistan;Pārūn;Афганистан;Парун
AF;Afghanistan;Pul-e Khumrī;Афганистан;Пул-е Хумри
AF;Afghanistan;Pul-e ‘Alam;Афганистан;Пул-э Алам
AF;Afghanistan;Sar-e Pul;Афганистан;Сар-э Пул
AF;Afghanistan;Tāluqān;Афганистан;Талукан
AF;Afghanistan;Tarīn Kōṯ;Афганистан;Тарин Коу
AF;Afghanistan;Faīẕābād;Афганистан;Файзабад
AF;Afghanistan;Fayrōz Kōh;Афганистан;Файроз Кох
AF;Afghanistan;Farāh;Афганистан;Фарах
AF;Afghanistan;Khānābād;Афганистан;Ханабад
AF;Afghanistan;Khōst;Афганистан;Хост
AF;Afghanistan;Khulm;Афганистан;Хульм
AF;Afghanistan;Chārīkār;Афганистан;Чарикар
